2025-10-01 13:35:26,906 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,908 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,910 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,911 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,913 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,914 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,916 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,917 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,918 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,920 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,921 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,924 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,925 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,926 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,928 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,929 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,931 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,932 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,933 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,935 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,937 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,938 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,940 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,941 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,942 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,944 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,945 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,947 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,948 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,951 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,952 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,954 - Sensor 1: BLOCKED | Sensor 2: OPEN
